batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,2.0,0.0001,cosine,InceptionV3,1.0,adamw,ddp,0.11785955727100372,0.9708999991416931
32.0,10.0,1.0,0.0001,cosine,InceptionV3,1.0,adamw,fsdp,0.1291135996580124,0.9696999788284302
32.0,10.0,2.0,0.0001,cosine,InceptionV3,2.0,adamw,ddp,0.11473967134952545,0.9692999720573425
32.0,10.0,2.0,0.0001,step,InceptionV3,2.0,adamw,ddp,0.1136271208524704,0.968500018119812
64.0,10.0,2.0,0.0001,step,InceptionV3,1.0,adamw,ddp,0.11759831756353378,0.9682000279426575
32.0,10.0,2.0,0.0001,cosine,InceptionV3,1.0,adamw,ddp,0.12314026057720184,0.9678000211715698
32.0,10.0,2.0,0.0001,step,InceptionV3,1.0,adamw,ddp,0.12262652814388275,0.9675999879837036
64.0,10.0,2.0,0.0001,cosine,InceptionV3,2.0,adamw,ddp,0.1167127788066864,0.9672999978065491
32.0,10.0,1.0,0.0001,step,InceptionV3,1.0,adamw,fsdp,0.13352170586585999,0.96670001745224
64.0,10.0,2.0,0.0001,step,InceptionV3,2.0,adamw,ddp,0.12649594247341156,0.9660999774932861
64.0,10.0,2.0,0.0001,reduce,InceptionV3,2.0,adamw,ddp,0.14718708395957947,0.9606000185012817
64.0,10.0,2.0,0.0001,none,InceptionV3,2.0,adamw,ddp,0.13935527205467224,0.9598000049591064
64.0,10.0,2.0,0.0001,none,InceptionV3,1.0,adamw,ddp,0.13630107045173645,0.9592000246047974
32.0,10.0,2.0,0.0001,none,InceptionV3,2.0,adamw,ddp,0.14855541288852692,0.9577000141143799
64.0,10.0,2.0,0.0001,reduce,InceptionV3,1.0,adamw,ddp,0.16138774156570435,0.9577000141143799
32.0,10.0,2.0,0.0001,reduce,InceptionV3,2.0,adamw,ddp,0.15739214420318604,0.9560999870300293
32.0,10.0,2.0,0.0001,none,InceptionV3,1.0,adamw,ddp,0.16850432753562927,0.9535999894142151
32.0,10.0,2.0,0.0001,reduce,InceptionV3,1.0,adamw,ddp,0.16977760195732117,0.9534000158309937
32.0,10.0,1.0,0.0001,none,InceptionV3,1.0,adamw,fsdp,0.16499795019626617,0.9509999752044678
32.0,10.0,2.0,0.0001,reduce,InceptionV3,1.0,sgd,ddp,0.17389973998069763,0.944100022315979
32.0,10.0,2.0,0.0001,none,InceptionV3,1.0,sgd,ddp,0.1806909441947937,0.9417999982833862
32.0,10.0,2.0,0.0001,step,InceptionV3,1.0,sgd,ddp,0.2551633417606354,0.9218000173568726
32.0,10.0,2.0,0.0001,cosine,InceptionV3,1.0,sgd,ddp,0.2497258484363556,0.9200000166893005
64.0,10.0,2.0,0.0001,none,InceptionV3,1.0,sgd,ddp,0.2608655095100403,0.9182999730110168
32.0,10.0,2.0,0.0001,none,InceptionV3,2.0,sgd,ddp,0.2691071331501007,0.917900025844574
32.0,10.0,2.0,0.0001,reduce,InceptionV3,2.0,sgd,ddp,0.26633208990097046,0.9150999784469604
32.0,10.0,2.0,0.0001,step,InceptionV3,2.0,sgd,ddp,0.42846742272377014,0.8827000260353088
32.0,10.0,2.0,0.0001,cosine,InceptionV3,2.0,sgd,ddp,0.4653032124042511,0.8709999918937683
64.0,10.0,2.0,0.0001,none,InceptionV3,2.0,sgd,ddp,0.48587915301322937,0.8669000267982483
