batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,4.0,0.0001,cosine,VGG19,1.0,adamw,ddp,0.22570984065532684,0.9503999948501587
32.0,10.0,4.0,0.0001,step,VGG19,1.0,adamw,ddp,0.22470623254776,0.9478999972343445
32.0,10.0,2.0,0.0001,cosine,VGG19,1.0,adamw,ddp,0.24063313007354736,0.9477999806404114
32.0,10.0,4.0,0.0001,cosine,VGG19,1.0,adamw,ddp,0.23101209104061127,0.9474999904632568
64.0,10.0,4.0,0.0001,step,VGG19,1.0,adamw,ddp,0.24459391832351685,0.9467999935150146
64.0,10.0,2.0,0.0001,step,VGG19,1.0,adamw,ddp,0.2485867142677307,0.9462000131607056
128.0,10.0,4.0,0.0001,step,VGG19,1.0,adamw,ddp,0.24762101471424103,0.9435999989509583
32.0,10.0,2.0,0.0001,step,VGG19,1.0,adamw,ddp,0.2562490999698639,0.9430999755859375
32.0,10.0,1.0,0.0001,cosine,VGG19,1.0,adamw,fsdp,0.3293958902359009,0.9420999884605408
32.0,10.0,1.0,0.0001,step,VGG19,1.0,adamw,fsdp,0.3198210597038269,0.9377999901771545
64.0,10.0,4.0,0.0001,reduce,VGG19,1.0,adamw,ddp,0.2450929880142212,0.9329000115394592
64.0,10.0,2.0,0.0001,none,VGG19,1.0,adamw,ddp,0.26401111483573914,0.9301000237464905
32.0,10.0,4.0,0.0001,reduce,VGG19,1.0,adamw,ddp,0.2683247923851013,0.9297999739646912
32.0,10.0,4.0,0.0001,none,VGG19,1.0,adamw,ddp,0.2700462341308594,0.9282000064849854
64.0,10.0,4.0,0.0001,none,VGG19,1.0,adamw,ddp,0.2876032590866089,0.9266999959945679
32.0,10.0,2.0,0.0001,reduce,VGG19,1.0,adamw,ddp,0.3123314678668976,0.919700026512146
32.0,10.0,2.0,0.0001,none,VGG19,1.0,adamw,ddp,0.3199135363101959,0.9146000146865845
32.0,10.0,4.0,0.0001,none,VGG19,1.0,sgd,ddp,0.24805012345314026,0.9143999814987183
32.0,10.0,4.0,0.0001,reduce,VGG19,1.0,sgd,ddp,0.25164803862571716,0.9128000140190125
32.0,10.0,1.0,0.0001,none,VGG19,1.0,adamw,fsdp,0.3051368296146393,0.9064000248908997
32.0,10.0,4.0,0.0001,step,VGG19,1.0,sgd,ddp,0.28172194957733154,0.9031000137329102
32.0,10.0,4.0,0.0001,cosine,VGG19,1.0,sgd,ddp,0.27951303124427795,0.902999997138977
