batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,rmsprop,ddp,0.11493199318647385,0.9700000286102295
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,rmsprop,ddp,0.11657258123159409,0.9697999954223633
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adam,ddp,0.10925573855638504,0.968500018119812
128.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,rmsprop,ddp,0.12298182398080826,0.9682000279426575
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adamw,ddp,0.1143912822008133,0.9679999947547913
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,adam,ddp,0.12274883687496185,0.9675999879837036
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,adamw,ddp,0.1166301965713501,0.9672999978065491
128.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adamw,ddp,0.12047680467367172,0.9649999737739563
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adam,ddp,0.1337757408618927,0.9646999835968018
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,rmsprop,ddp,0.1255222111940384,0.9645000100135803
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,adam,ddp,0.13480137288570404,0.9643999934196472
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,adamw,ddp,0.1350170522928238,0.963699996471405
128.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adam,ddp,0.13017408549785614,0.9632999897003174
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adamw,ddp,0.1375119388103485,0.9628000259399414
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,adam,ddp,0.13585273921489716,0.9624000191688538
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,adam,ddp,0.13047103583812714,0.9621000289916992
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,adamw,ddp,0.14343665540218353,0.9611999988555908
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,adamw,ddp,0.126742422580719,0.9607999920845032
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,rmsprop,ddp,0.13662512600421906,0.9603000283241272
128.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adamw,ddp,0.1502835750579834,0.9599000215530396
128.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adam,ddp,0.15447008609771729,0.9592000246047974
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,rmsprop,ddp,0.1678183376789093,0.9569000005722046
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,rmsprop,ddp,0.20221178233623505,0.9484999775886536
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,sgd,ddp,0.7831213474273682,0.8158000111579895
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,sgd,ddp,0.8090459108352661,0.8113999962806702
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,sgd,ddp,1.455028772354126,0.7177000045776367
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,sgd,ddp,1.4733856916427612,0.7077999711036682
128.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,sgd,ddp,1.5360699892044067,0.7008000016212463
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,sgd,ddp,1.5328742265701294,0.6855999827384949
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,sgd,ddp,1.9138704538345337,0.5705999732017517
128.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,sgd,ddp,1.940787672996521,0.5541999936103821
