batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,adam,fsdp1,0.12618650496006012,0.9672999978065491
64.0,10.0,4.0,0.0001,step,InceptionV3,1.0,adam,fsdp1,0.12036586552858353,0.9661999940872192
128.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,adam,fsdp1,0.13338392972946167,0.963100016117096
128.0,10.0,4.0,0.0001,step,InceptionV3,1.0,adam,fsdp1,0.13084404170513153,0.961899995803833
128.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,rmsprop,fsdp1,0.15118686854839325,0.9610999822616577
64.0,10.0,4.0,0.0001,none,InceptionV3,1.0,adam,fsdp1,0.15585549175739288,0.9599000215530396
64.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,rmsprop,fsdp1,0.15571655333042145,0.9592000246047974
128.0,10.0,4.0,0.0001,none,InceptionV3,1.0,adam,fsdp1,0.16012778878211975,0.9585999846458435
64.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,adam,fsdp1,0.1572117954492569,0.9585000276565552
128.0,10.0,4.0,0.0001,step,InceptionV3,1.0,rmsprop,fsdp1,0.17574067413806915,0.9563999772071838
128.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,adam,fsdp1,0.16002574563026428,0.9549000263214111
64.0,10.0,4.0,0.0001,step,InceptionV3,1.0,rmsprop,fsdp1,0.18441960215568542,0.953000009059906
64.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,rmsprop,fsdp1,0.2679239511489868,0.9142000079154968
128.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,rmsprop,fsdp1,0.2887730896472931,0.9117000102996826
128.0,10.0,4.0,0.0001,none,InceptionV3,1.0,rmsprop,fsdp1,0.3029908537864685,0.9107000231742859
64.0,10.0,4.0,0.0001,none,InceptionV3,1.0,rmsprop,fsdp1,0.2997698485851288,0.9093000292778015
64.0,10.0,4.0,0.0001,none,InceptionV3,1.0,sgd,fsdp1,0.4988947808742523,0.8651999831199646
64.0,10.0,4.0,0.0001,reduce,InceptionV3,1.0,sgd,fsdp1,0.499421089887619,0.8651000261306763
64.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,sgd,fsdp1,0.9213041067123413,0.8025000095367432
64.0,10.0,4.0,0.0001,step,InceptionV3,1.0,sgd,fsdp1,0.9638965129852295,0.7886000275611877
128.0,10.0,4.0,0.0001,none,InceptionV3,1.0,sgd,fsdp1,1.0029124021530151,0.7839000225067139
128.0,10.0,4.0,0.0001,step,InceptionV3,1.0,sgd,fsdp1,1.5995588302612305,0.7164000272750854
128.0,10.0,4.0,0.0001,cosine,InceptionV3,1.0,sgd,fsdp1,1.6527851819992065,0.7038000226020813
