batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,2.0,0.0001,step,VGG19,2.0,adam,fsdp1,0.22371725738048553,0.9474999904632568
64.0,10.0,2.0,0.0001,none,VGG19,2.0,adam,fsdp1,0.2784087657928467,0.932699978351593
64.0,10.0,2.0,0.0001,step,VGG19,2.0,rmsprop,fsdp1,0.4453234374523163,0.8693000078201294
64.0,10.0,2.0,0.0001,cosine,VGG19,2.0,rmsprop,fsdp1,0.48115116357803345,0.8664000034332275
64.0,10.0,2.0,0.0001,none,VGG19,2.0,rmsprop,fsdp1,0.4423808157444,0.863099992275238
64.0,10.0,2.0,0.0001,reduce,VGG19,2.0,rmsprop,fsdp1,0.5039038062095642,0.8508999943733215
128.0,10.0,2.0,0.0001,step,VGG19,2.0,rmsprop,fsdp1,0.5126741528511047,0.8305000066757202
128.0,10.0,2.0,0.0001,cosine,VGG19,2.0,rmsprop,fsdp1,0.5499520301818848,0.8251000046730042
128.0,10.0,2.0,0.0001,none,VGG19,2.0,rmsprop,fsdp1,0.610767662525177,0.8001000285148621
128.0,10.0,2.0,0.0001,reduce,VGG19,2.0,rmsprop,fsdp1,0.7432979941368103,0.7538999915122986
